Movie ID,Total word count,Verb Count,Noun Count,Adjective Count,Adverb Count,Pronoun Count
tt9198364,134032,13808,21904,10800,7120,12512
tt9203694,33468,3966,5694,2454,2142,3012
tt9203832,75880,7261,12900,6120,4840,6860
tt9204204,30444,3264,5334,2550,1992,2538
tt9206516,31180,3500,6140,2320,1180,2560
tt9206798,48192,4566,7500,3942,2544,3966
tt9207700,29480,2930,5360,2640,1390,2630
tt9214832,117945,10481,16782,8873,6810,9327
tt9224288,52934,5785,7626,3790,3948,5898
tt9231040,179759,17605,31565,13040,8144,14064
tt9242528,92944,9773,16387,6766,4489,6738
tt9243804,122237,13697,18688,8854,6961,11705
tt9243946,19547,2080,2746,1540,1145,1946
tt9244554,19152,1902,3138,1752,1260,1566
tt9252488,59350,6497,8913,4201,3404,6522
tt9261218,46459,4690,8231,3722,2198,4423
tt9270362,30966,2880,4758,2664,1920,2916
tt9285882,23664,2472,4122,2046,1398,2190
tt9288046,83255,8108,14781,6768,4938,6976
tt9288692,84000,8944,13312,4992,4544,9152
tt9288726,69660,7220,12080,5420,3540,5960
tt9288748,92624,9891,15338,6727,5167,7836
tt9288822,56707,6238,9470,4276,3061,5304
tt9305634,43597,5153,7630,3358,2463,4683
tt9308382,18460,1855,2939,1594,997,1891
tt9318280,82766,8311,13544,6960,4744,9642
tt9326056,13738,1360,2581,1057,669,960
tt9337574,180,20,20,10,0,10
tt9340860,71372,6654,11189,4952,4042,5643
tt9340892,51829,5275,7973,4247,3643,5688
tt9340916,60287,6379,10399,5088,3556,5762
tt9347730,128322,14322,21738,9755,6957,11181
tt9350934,17061,1540,3014,1606,869,1694
tt9351746,16610,1562,2530,1298,1265,1925
tt9351980,64464,6855,11940,5410,3423,5087
tt9352356,25364,2400,4462,2131,1473,2230
tt9352780,60320,6142,9813,4340,2891,4181
tt9352926,42817,4639,7523,3606,2466,4538
tt9353436,2975,324,547,195,116,284
tt9353586,37339,3786,7119,2753,1513,3552
tt9354842,24120,2604,3444,1944,1482,2496
tt9354944,52747,5100,8227,4085,2812,5094
tt9355194,10914,1082,2083,849,484,809
tt9356952,22200,2334,3648,1896,1278,2034
tt9357050,77910,8378,12671,5871,4068,7443
tt9358044,50672,5650,8539,3281,2216,4776
tt9358052,22116,2616,3738,1296,1206,2406
tt9358084,56808,5756,9010,3998,2750,6165
tt9358120,12296,1095,2124,1173,704,1136
tt9358160,18342,1939,3089,1411,984,1698
tt9358196,112449,10067,16921,8048,7910,11267
tt9358200,14117,1309,2568,1110,623,1337
tt9358256,31680,3360,5940,2540,1320,2980
tt9373688,79885,8335,13296,5803,5017,7736
tt9376612,61760,5019,9098,5015,3124,5290
tt9378672,7907,858,1251,555,395,681
tt9386648,35121,3770,6104,2801,2091,3009
tt9398640,46886,4481,7687,3878,3424,4164
tt9404442,18960,2060,3180,1560,1020,1820
tt9411866,76738,8236,11801,5200,5876,7970
tt9411972,158618,18724,26362,10665,8045,15903
tt9412098,82391,8738,14703,6122,4738,8078
tt9415108,18428,2028,3016,1328,1021,1617
tt9419056,103023,11477,15384,7260,6757,10752
tt9419884,74412,7802,11658,5836,4492,6411
tt9421570,65338,6552,10472,4690,3892,5796
tt9426210,65660,7406,11354,5446,3724,6244
tt9434778,2680,260,340,160,140,340
tt9441638,48773,4700,7963,3869,2743,3837
tt9467994,7480,700,1400,560,440,780
tt9471660,35715,4206,5844,2637,1918,3524
tt9482230,30160,3120,4660,2740,1900,2560
tt9484998,31157,3050,4710,2286,2307,2927
tt9526784,21805,2135,4065,1803,1011,1825
tt9530198,43560,4360,7560,3560,2200,4680
tt9569546,58853,6271,9612,4094,2797,6412
tt9577852,41988,3848,6398,3433,2606,3393
tt9598214,76977,7767,13617,5684,3399,6304
tt9601220,67433,6954,11036,5445,3907,6642
tt9602472,105829,11411,16874,8209,6799,11570
tt9606374,27421,2904,4301,1974,1428,2669
tt9608818,27230,2789,4510,2252,1652,2457
tt9614440,29276,3256,5149,2537,1420,2678
tt9617456,53268,6096,9600,3204,2556,5196
tt9617484,4000,440,580,260,160,400
tt9617716,83020,9360,12080,5900,5260,11400
tt9619798,29177,2985,4026,2466,1658,3185
tt9620288,55980,5770,9700,4020,3130,4760
tt9620292,73710,8181,11304,5545,4458,8362
tt9624766,54216,5588,8020,4273,3175,6200
tt9632590,59580,5796,10098,4878,3402,5166
tt9639470,122494,13074,20326,9335,7242,9963
tt9647768,27672,2667,5266,2555,1444,2129
tt9660502,98713,10345,16869,8478,6077,9538
tt9664078,20802,2454,3318,1884,1134,2394
tt9664108,37926,3606,6648,3210,2424,2424
tt9683478,49094,5073,7697,4054,3089,5011
tt9684220,16668,1644,2460,1338,1248,1680
tt9686154,5181,584,964,431,185,405
tt9686708,78939,8122,11413,6140,5182,7933
tt9690328,48041,5560,8319,3904,2922,4388
tt9691136,93151,9762,16894,6634,5442,7466
tt9695308,10270,1135,1717,870,508,994
tt9695722,61095,5775,8893,4977,3806,5235
tt9697780,10965,1155,2025,975,735,900
tt9701940,47659,4816,7451,3803,3506,4170
tt9701942,23823,2338,3777,1779,1515,1761
tt9714030,18101,1674,3366,1486,944,1418
tt9731386,37942,4282,5760,3518,2646,3593
tt9731534,55874,6705,8774,3399,3435,6403
tt9731682,68370,6908,11970,5531,3485,5441
tt9733388,17904,1926,2730,1488,1044,1626
tt9735462,66449,6974,10956,5293,3401,5957
tt9735470,34932,3654,5952,2838,1974,3156
tt9735758,53028,5094,9234,4968,2754,4176
tt9738716,33390,3115,5883,2748,1792,2760
tt9741180,57277,6043,10925,4428,2903,4862
tt9742936,27130,3399,4311,1949,1618,2746
tt9749570,8520,600,1520,540,240,500
tt9760516,15680,1600,2700,1380,780,1760
tt9764362,123118,13876,19309,8287,7817,12110
tt9770150,37893,4110,5807,2967,2251,4169
tt9777644,88836,8926,14239,7097,5518,8141
tt9777666,94503,10598,16315,6330,5780,8251
tt9778738,6640,800,880,500,360,720
tt9779516,30199,3325,5010,2218,1685,3313
tt9783600,68389,6897,11176,5577,4090,5464
tt9783620,64110,5908,11445,3722,3326,6171
tt9784456,16110,1704,2166,1284,1212,1776
tt9784798,89114,8604,13135,6340,4647,7362
tt9789042,40867,4487,6683,3287,2418,4131
tt9806192,149071,17254,25157,9894,8728,15948
tt9808268,7040,680,1040,580,500,660
tt9812474,61953,7015,9924,4367,3567,6409
tt9822706,22364,2175,4298,1955,1098,1653
tt9827834,74089,7110,12332,5672,3727,6827
tt9834492,13160,1360,2260,960,1040,960
tt9844522,30288,3102,4746,2628,2202,2700
tt9844938,49801,4467,8350,3797,2858,3662
tt9847360,35042,4009,6110,2527,1833,3756
tt9848626,23268,2112,3384,1890,1410,1866
tt9849004,58546,5736,9118,4755,3587,5622
tt9850386,104179,10222,16882,6799,5370,9260
tt9853500,47504,5145,7876,3624,2586,4115
tt9866072,14742,1410,2460,1320,1026,1290
tt9883832,61366,5953,9877,4730,4139,5649
tt9883996,35432,3488,6024,2520,1856,3104
tt9892094,40532,4257,7756,3546,2056,3434
tt9893084,44840,5360,6480,3200,2560,5500
tt9893250,33683,3667,4993,2919,2444,3436
tt9894470,91656,8795,16075,7142,4478,6861
tt9896876,25290,2142,4788,3060,900,2070
tt9898858,30430,2926,5316,3187,1538,2865
tt9902160,71816,7426,12604,5685,3242,6582
tt9907782,82487,7953,15626,7168,4789,6238
